Altium Designer Pick and Place Locations
C:\Sync\PCB Data\WKWK\BabyConditionMonitor\Project Outputs for BabyConditionMonitor\Pick Place for BabyConditionMonitor.txt

========================================================================================================================
File Design Information:

Date:       22/03/19
Time:       18:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                   Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                  Pad-X(mm) Pad-Y(mm) 
R15        Res3                      TopLayer    1005[0402]_High_Density 30.4800      17.9670      90       Resistor                     30.4800   17.4670   
R9         Res3                      TopLayer    1005[0402]_High_Density 31.3967      18.6690      270      Resistor                     31.3967   19.1690   
J1         "USB 2.0 CON"             TopLayer    MicroUSB_WaterProof     37.2110      9.9700       270      "USB2.0 Connector"           37.2110   11.4250   
D5         VEMD5010X01               BottomLayer OPT_Sensor_VEMD5010X01  31.8941      10.2952      180      ""                           33.1691   8.1952    
M1         CYBLE-224110-00           TopLayer    CYBLE-224110-00         10.2500      9.2550       180      "BLE Module Long Range"      5.7600    3.3700    
U3         "HRM AFE"                 BottomLayer ADPD1080                18.7960      15.3670      360      "HRM AFE"                    16.8710   14.1670   
R14        ""                        TopLayer    1005[0402]              29.3060      14.9860      270      Resistor                     29.3060   15.6360   
PW1.8V     LM3671                    TopLayer    LM3671_SOT              26.2890      14.3510      180      StepDownDCDC                 27.6640   13.4010   
L3         Inductor                  TopLayer    INDC1608L               23.4038      13.9109      90       Inductor                     23.4038   13.2109   
D2         LED                       BottomLayer 1608[0603]_-LED         27.4000      10.3300      90       "LED SMD"                    27.4000   9.4800    
D3         LED                       BottomLayer 1608[0603]_-LED         31.9141      15.5000      180      "LED SMD"                    32.7641   15.5000   
D4         LED                       BottomLayer 1608[0603]_-LED         31.8940      6.1000       180      "LED SMD"                    32.7440   6.1000    
C12        Cap                       TopLayer    1005[0402]_High_Density 17.8100      15.1000      180      Capacitor                    18.3100   15.1000   
C14        Cap                       TopLayer    1005[0402]_High_Density 17.9960      17.2920      180      Capacitor                    18.4960   17.2920   
C11        Cap                       TopLayer    1005[0402]_High_Density 32.3210      15.7020      360      Capacitor                    31.8210   15.7020   
C16        Cap                       TopLayer    1005[0402]_High_Density 22.9288      15.8959      360      Capacitor                    22.4288   15.8959   
C13        Cap                       TopLayer    1005[0402]_High_Density 17.8100      16.0020      180      Capacitor                    18.3100   16.0020   
C15        Cap                       TopLayer    1005[0402]_High_Density 27.1190      11.6380      0        Capacitor                    26.6190   11.6380   
CLIP       SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           2.5000       17.0000      270      ""                           3.4750    17.4000   
