Altium Designer Pick and Place Locations
C:\Sync\PCB Data\WKWK\BabyConditionMonitor\Project Outputs for BabyConditionMonitor\Pick Place for BabyConditionMonitorEmbedd.txt

========================================================================================================================
File Design Information:

Date:       13/06/19
Time:       10:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                   Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                  Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
R15        Res3                      TopLayer    1005[0402]_High_Density 130.5554     17.9674      90       Resistor                     130.5554  17.9674   130.5554  17.4674   
R9         Res3                      TopLayer    1005[0402]_High_Density 131.4721     18.6694      270      Resistor                     131.4721  18.6694   131.4721  19.1694   
J1         "USB 2.0 CON"             TopLayer    MicroUSB_WaterProof     137.2864     9.9704       270      "USB2.0 Connector"           137.2864  10.0004   137.2864  11.4254   
D5         VEMD5010X01               BottomLayer OPT_Sensor_VEMD5010X01  131.9695     10.2956      180      ""                           131.9695  10.2956   133.2445  8.1956    
M1         CYBLE-224110-00           TopLayer    CYBLE-224110-00         110.3254     9.2554       180      "BLE Module Long Range"      105.5754  0.0004    105.8354  3.3704    
U3         "HRM AFE"                 BottomLayer ADPD1080                118.8714     15.3674      360      "HRM AFE"                    118.8714  15.3674   116.9464  14.1674   
R14        ""                        TopLayer    1005[0402]              129.3814     14.9864      270      Resistor                     129.3814  14.9864   129.3814  15.6364   
PW1.8V     LM3671                    TopLayer    LM3671_SOT              126.3644     14.3514      180      StepDownDCDC                 126.3644  14.3514   127.7394  13.4014   
L3         Inductor                  TopLayer    INDC1608L               123.4792     13.9113      90       Inductor                     123.4792  13.9113   123.4792  13.2113   
D2         LED                       BottomLayer 1608[0603]_-LED         127.4754     10.3304      90       "LED SMD"                    127.4754  10.3304   127.4754  9.4804    
D3         LED                       BottomLayer 1608[0603]_-LED         131.9895     15.5004      180      "LED SMD"                    131.9895  15.5004   132.8395  15.5004   
D4         LED                       BottomLayer 1608[0603]_-LED         131.9694     6.1004       180      "LED SMD"                    131.9694  6.1004    132.8194  6.1004    
C12        Cap                       TopLayer    1005[0402]_High_Density 117.8854     15.1004      180      Capacitor                    117.8854  15.1004   118.3854  15.1004   
C14        Cap                       TopLayer    1005[0402]_High_Density 118.0714     17.2924      180      Capacitor                    118.0714  17.2924   118.5714  17.2924   
C11        Cap                       TopLayer    1005[0402]_High_Density 132.3964     15.7024      360      Capacitor                    132.3964  15.7024   131.8964  15.7024   
C16        Cap                       TopLayer    1005[0402]_High_Density 123.0042     15.8963      360      Capacitor                    123.0042  15.8963   122.5042  15.8963   
C13        Cap                       TopLayer    1005[0402]_High_Density 117.8854     16.0024      180      Capacitor                    117.8854  16.0024   118.3854  16.0024   
C15        Cap                       TopLayer    1005[0402]_High_Density 127.1944     11.6384      0        Capacitor                    127.1944  11.6384   126.6944  11.6384   
CLIP       SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           102.5754     17.0004      270      ""                           102.5754  17.0004   103.5504  17.4004   
LS1        Buzzer                    TopLayer    ST-0402T                120.5504     4.3184       360      "Magnetic Transducer Buzzer" 118.8004  4.3184    122.3004  4.3184    
U2         "Body Temperature Sensor" BottomLayer MAX30205                102.9174     2.7084       180      "Body Temperature Sebsor"    102.9174  2.7084    104.3624  3.6834    
U1         "Accel Gyro Sensor"       BottomLayer MPU-6050                119.0104     4.6334       180      "Accel Gyro Sensor"          119.0104  4.6334    120.9354  5.8834    
Touch      SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           102.5754     3.0004       270      ""                           102.5754  3.0004    103.5504  3.4004    
R13        Res3                      TopLayer    1005[0402]_High_Density 127.1944     10.6003      360      Resistor                     127.1944  10.6003   126.6944  10.6003   
R12        "Res Semi"                BottomLayer 1005[0402]_High_Density 101.7195     5.1504       180      "Semiconductor Resistor"     101.7195  5.1504    102.2195  5.1504    
R11        Res3                      TopLayer    1005[0402]_High_Density 119.3794     9.1444       270      Resistor                     119.3794  9.1444    119.3794  9.6444    
R10        Res3                      TopLayer    1005[0402]_High_Density 120.2604     9.1444       270      Resistor                     120.2604  9.1444    120.2604  9.6444    
R8         Res3                      TopLayer    1005[0402]_High_Density 103.6114     9.2254       360      Resistor                     103.6114  9.2254    103.1114  9.2254    
R7         Res3                      TopLayer    1005[0402]_High_Density 103.2424     8.1284       360      Resistor                     103.2424  8.1284    102.7424  8.1284    
R6         Res3                      TopLayer    1005[0402]_High_Density 103.2424     7.1804       360      Resistor                     103.2424  7.1804    102.7424  7.1804    
R5         Res3                      TopLayer    1005[0402]_High_Density 132.0794     5.3344       0        Resistor                     132.0794  5.3344    131.5794  5.3344    
R4         Res3                      TopLayer    1005[0402]_High_Density 132.0964     6.4774       180      Resistor                     132.0964  6.4774    132.5964  6.4774    
R3         Res3                      TopLayer    1005[0402]_High_Density 130.3195     7.5304       360      Resistor                     130.3195  7.5304    129.8195  7.5304    
R2         Res3                      TopLayer    1005[0402]_High_Density 130.1744     4.2503       0        Resistor                     130.1744  4.2503    129.6744  4.2503    
R1         Res3                      TopLayer    1005[0402]_High_Density 130.1736     3.0534       0        Resistor                     130.1736  3.0534    129.6736  3.0534    
PW3.3V     "Buck Boost Converter"    TopLayer    RP604x                  126.4444     8.3363       270      "Buck Boost Converter"       126.4444  8.3363    127.6944  9.6663    
L2         PowerInductor             TopLayer    Powerinductor           126.2374     4.1503       225      PowerInductor                126.2374  4.1503    127.7365  4.1503    
L1         Inductor                  TopLayer    INDC1608L               113.2383     17.1454      270      Inductor                     113.2383  17.1454   113.2383  17.8454   
Debug      "Header 5"                TopLayer    MHDR1X5                 108.9654     17.4004      360      "Header, 5-Pin"              106.4254  17.4004   106.4254  17.4004   
D1         FullColorLED              TopLayer    fullColorLED_SMT        101.5754     10.0004      90       ""                           101.5754  10.0004   101.0754  10.7754   
CON_BAT    SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           134.7004     2.1284       360      ""                           134.7004  2.1284    134.3004  3.1034    
Charge     "USB Charger"             TopLayer    BQ24020                 133.2064     8.9304       270      ""                           133.2064  8.9304    134.2064  10.3304   
C10        Cap                       TopLayer    1005[0402]_High_Density 121.0304     1.6404       180      Capacitor                    121.0304  1.6404    121.5304  1.6404    
C9         Cap                       TopLayer    1005[0402]_High_Density 117.5854     1.6404       360      Capacitor                    117.5854  1.6404    117.0854  1.6404    
C8         Cap                       TopLayer    1608[0603]              123.4434     8.1284       270      Capacitor                    123.4434  8.1284    123.4434  8.9784    
C7         Cap                       TopLayer    1005[0402]_High_Density 116.8014     3.9004       0        Capacitor                    116.8014  3.9004    116.3014  3.9004    
C6         Cap                       TopLayer    1005[0402]_High_Density 129.0314     11.1764      270      Capacitor                    129.0314  11.1764   129.0314  11.6764   
C5         Cap                       BottomLayer 1005[0402]_High_Density 102.7504     6.1834       180      Capacitor                    102.7504  6.1834    103.2504  6.1834    
C4         Cap                       TopLayer    1005[0402]_High_Density 116.0814     13.9113      270      Capacitor                    116.0814  13.9113   116.0814  14.4113   
C3         Cap                       TopLayer    1005[0402]_High_Density 114.9484     17.3994      180      Capacitor                    114.9484  17.3994   115.4484  17.3994   
C2         Cap                       TopLayer    1005[0402]_High_Density 134.8734     4.5003       0        Capacitor                    134.8734  4.5003    134.3734  4.5003    
C1         Cap                       TopLayer    1005[0402]_High_Density 135.3814     11.9384      90       Capacitor                    135.3814  11.9384   135.3814  11.4384   
R15        Res3                      TopLayer    1005[0402]_High_Density 130.5554     37.9674      90       Resistor                     130.5554  37.9674   130.5554  37.4674   
R9         Res3                      TopLayer    1005[0402]_High_Density 131.4721     38.6694      270      Resistor                     131.4721  38.6694   131.4721  39.1694   
J1         "USB 2.0 CON"             TopLayer    MicroUSB_WaterProof     137.2864     29.9704      270      "USB2.0 Connector"           137.2864  30.0004   137.2864  31.4254   
D5         VEMD5010X01               BottomLayer OPT_Sensor_VEMD5010X01  131.9695     30.2956      180      ""                           131.9695  30.2956   133.2445  28.1956   
M1         CYBLE-224110-00           TopLayer    CYBLE-224110-00         110.3254     29.2554      180      "BLE Module Long Range"      105.5754  20.0004   105.8354  23.3704   
U3         "HRM AFE"                 BottomLayer ADPD1080                118.8714     35.3674      360      "HRM AFE"                    118.8714  35.3674   116.9464  34.1674   
R14        ""                        TopLayer    1005[0402]              129.3814     34.9864      270      Resistor                     129.3814  34.9864   129.3814  35.6364   
PW1.8V     LM3671                    TopLayer    LM3671_SOT              126.3644     34.3514      180      StepDownDCDC                 126.3644  34.3514   127.7394  33.4014   
L3         Inductor                  TopLayer    INDC1608L               123.4792     33.9113      90       Inductor                     123.4792  33.9113   123.4792  33.2113   
D2         LED                       BottomLayer 1608[0603]_-LED         127.4754     30.3304      90       "LED SMD"                    127.4754  30.3304   127.4754  29.4804   
D3         LED                       BottomLayer 1608[0603]_-LED         131.9895     35.5004      180      "LED SMD"                    131.9895  35.5004   132.8395  35.5004   
D4         LED                       BottomLayer 1608[0603]_-LED         131.9694     26.1004      180      "LED SMD"                    131.9694  26.1004   132.8194  26.1004   
C12        Cap                       TopLayer    1005[0402]_High_Density 117.8854     35.1004      180      Capacitor                    117.8854  35.1004   118.3854  35.1004   
C14        Cap                       TopLayer    1005[0402]_High_Density 118.0714     37.2924      180      Capacitor                    118.0714  37.2924   118.5714  37.2924   
C11        Cap                       TopLayer    1005[0402]_High_Density 132.3964     35.7024      360      Capacitor                    132.3964  35.7024   131.8964  35.7024   
C16        Cap                       TopLayer    1005[0402]_High_Density 123.0042     35.8963      360      Capacitor                    123.0042  35.8963   122.5042  35.8963   
C13        Cap                       TopLayer    1005[0402]_High_Density 117.8854     36.0024      180      Capacitor                    117.8854  36.0024   118.3854  36.0024   
C15        Cap                       TopLayer    1005[0402]_High_Density 127.1944     31.6384      0        Capacitor                    127.1944  31.6384   126.6944  31.6384   
CLIP       SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           102.5754     37.0004      270      ""                           102.5754  37.0004   103.5504  37.4004   
LS1        Buzzer                    TopLayer    ST-0402T                120.5504     24.3184      360      "Magnetic Transducer Buzzer" 118.8004  24.3184   122.3004  24.3184   
U2         "Body Temperature Sensor" BottomLayer MAX30205                102.9174     22.7084      180      "Body Temperature Sebsor"    102.9174  22.7084   104.3624  23.6834   
U1         "Accel Gyro Sensor"       BottomLayer MPU-6050                119.0104     24.6334      180      "Accel Gyro Sensor"          119.0104  24.6334   120.9354  25.8834   
Touch      SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           102.5754     23.0004      270      ""                           102.5754  23.0004   103.5504  23.4004   
R13        Res3                      TopLayer    1005[0402]_High_Density 127.1944     30.6003      360      Resistor                     127.1944  30.6003   126.6944  30.6003   
R12        "Res Semi"                BottomLayer 1005[0402]_High_Density 101.7195     25.1504      180      "Semiconductor Resistor"     101.7195  25.1504   102.2195  25.1504   
R11        Res3                      TopLayer    1005[0402]_High_Density 119.3794     29.1444      270      Resistor                     119.3794  29.1444   119.3794  29.6444   
R10        Res3                      TopLayer    1005[0402]_High_Density 120.2604     29.1444      270      Resistor                     120.2604  29.1444   120.2604  29.6444   
R8         Res3                      TopLayer    1005[0402]_High_Density 103.6114     29.2254      360      Resistor                     103.6114  29.2254   103.1114  29.2254   
R7         Res3                      TopLayer    1005[0402]_High_Density 103.2424     28.1284      360      Resistor                     103.2424  28.1284   102.7424  28.1284   
R6         Res3                      TopLayer    1005[0402]_High_Density 103.2424     27.1804      360      Resistor                     103.2424  27.1804   102.7424  27.1804   
R5         Res3                      TopLayer    1005[0402]_High_Density 132.0794     25.3344      0        Resistor                     132.0794  25.3344   131.5794  25.3344   
R4         Res3                      TopLayer    1005[0402]_High_Density 132.0964     26.4774      180      Resistor                     132.0964  26.4774   132.5964  26.4774   
R3         Res3                      TopLayer    1005[0402]_High_Density 130.3195     27.5304      360      Resistor                     130.3195  27.5304   129.8195  27.5304   
R2         Res3                      TopLayer    1005[0402]_High_Density 130.1744     24.2503      0        Resistor                     130.1744  24.2503   129.6744  24.2503   
R1         Res3                      TopLayer    1005[0402]_High_Density 130.1736     23.0534      0        Resistor                     130.1736  23.0534   129.6736  23.0534   
PW3.3V     "Buck Boost Converter"    TopLayer    RP604x                  126.4444     28.3363      270      "Buck Boost Converter"       126.4444  28.3363   127.6944  29.6663   
L2         PowerInductor             TopLayer    Powerinductor           126.2374     24.1503      225      PowerInductor                126.2374  24.1503   127.7365  24.1503   
L1         Inductor                  TopLayer    INDC1608L               113.2383     37.1454      270      Inductor                     113.2383  37.1454   113.2383  37.8454   
Debug      "Header 5"                TopLayer    MHDR1X5                 108.9654     37.4004      360      "Header, 5-Pin"              106.4254  37.4004   106.4254  37.4004   
D1         FullColorLED              TopLayer    fullColorLED_SMT        101.5754     30.0004      90       ""                           101.5754  30.0004   101.0754  30.7754   
CON_BAT    SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           134.7004     22.1284      360      ""                           134.7004  22.1284   134.3004  23.1034   
Charge     "USB Charger"             TopLayer    BQ24020                 133.2064     28.9304      270      ""                           133.2064  28.9304   134.2064  30.3304   
C10        Cap                       TopLayer    1005[0402]_High_Density 121.0304     21.6404      180      Capacitor                    121.0304  21.6404   121.5304  21.6404   
C9         Cap                       TopLayer    1005[0402]_High_Density 117.5854     21.6404      360      Capacitor                    117.5854  21.6404   117.0854  21.6404   
C8         Cap                       TopLayer    1608[0603]              123.4434     28.1284      270      Capacitor                    123.4434  28.1284   123.4434  28.9784   
C7         Cap                       TopLayer    1005[0402]_High_Density 116.8014     23.9004      0        Capacitor                    116.8014  23.9004   116.3014  23.9004   
C6         Cap                       TopLayer    1005[0402]_High_Density 129.0314     31.1764      270      Capacitor                    129.0314  31.1764   129.0314  31.6764   
C5         Cap                       BottomLayer 1005[0402]_High_Density 102.7504     26.1834      180      Capacitor                    102.7504  26.1834   103.2504  26.1834   
C4         Cap                       TopLayer    1005[0402]_High_Density 116.0814     33.9113      270      Capacitor                    116.0814  33.9113   116.0814  34.4113   
C3         Cap                       TopLayer    1005[0402]_High_Density 114.9484     37.3994      180      Capacitor                    114.9484  37.3994   115.4484  37.3994   
C2         Cap                       TopLayer    1005[0402]_High_Density 134.8734     24.5003      0        Capacitor                    134.8734  24.5003   134.3734  24.5003   
C1         Cap                       TopLayer    1005[0402]_High_Density 135.3814     31.9384      90       Capacitor                    135.3814  31.9384   135.3814  31.4384   
R15        Res3                      TopLayer    1005[0402]_High_Density 130.5554     57.9674      90       Resistor                     130.5554  57.9674   130.5554  57.4674   
R9         Res3                      TopLayer    1005[0402]_High_Density 131.4721     58.6694      270      Resistor                     131.4721  58.6694   131.4721  59.1694   
J1         "USB 2.0 CON"             TopLayer    MicroUSB_WaterProof     137.2864     49.9704      270      "USB2.0 Connector"           137.2864  50.0004   137.2864  51.4254   
D5         VEMD5010X01               BottomLayer OPT_Sensor_VEMD5010X01  131.9695     50.2956      180      ""                           131.9695  50.2956   133.2445  48.1956   
M1         CYBLE-224110-00           TopLayer    CYBLE-224110-00         110.3254     49.2554      180      "BLE Module Long Range"      105.5754  40.0004   105.8354  43.3704   
U3         "HRM AFE"                 BottomLayer ADPD1080                118.8714     55.3674      360      "HRM AFE"                    118.8714  55.3674   116.9464  54.1674   
R14        ""                        TopLayer    1005[0402]              129.3814     54.9864      270      Resistor                     129.3814  54.9864   129.3814  55.6364   
PW1.8V     LM3671                    TopLayer    LM3671_SOT              126.3644     54.3514      180      StepDownDCDC                 126.3644  54.3514   127.7394  53.4014   
L3         Inductor                  TopLayer    INDC1608L               123.4792     53.9113      90       Inductor                     123.4792  53.9113   123.4792  53.2113   
D2         LED                       BottomLayer 1608[0603]_-LED         127.4754     50.3304      90       "LED SMD"                    127.4754  50.3304   127.4754  49.4804   
D3         LED                       BottomLayer 1608[0603]_-LED         131.9895     55.5004      180      "LED SMD"                    131.9895  55.5004   132.8395  55.5004   
D4         LED                       BottomLayer 1608[0603]_-LED         131.9694     46.1004      180      "LED SMD"                    131.9694  46.1004   132.8194  46.1004   
C12        Cap                       TopLayer    1005[0402]_High_Density 117.8854     55.1004      180      Capacitor                    117.8854  55.1004   118.3854  55.1004   
C14        Cap                       TopLayer    1005[0402]_High_Density 118.0714     57.2924      180      Capacitor                    118.0714  57.2924   118.5714  57.2924   
C11        Cap                       TopLayer    1005[0402]_High_Density 132.3964     55.7024      360      Capacitor                    132.3964  55.7024   131.8964  55.7024   
C16        Cap                       TopLayer    1005[0402]_High_Density 123.0042     55.8963      360      Capacitor                    123.0042  55.8963   122.5042  55.8963   
C13        Cap                       TopLayer    1005[0402]_High_Density 117.8854     56.0024      180      Capacitor                    117.8854  56.0024   118.3854  56.0024   
C15        Cap                       TopLayer    1005[0402]_High_Density 127.1944     51.6384      0        Capacitor                    127.1944  51.6384   126.6944  51.6384   
CLIP       SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           102.5754     57.0004      270      ""                           102.5754  57.0004   103.5504  57.4004   
LS1        Buzzer                    TopLayer    ST-0402T                120.5504     44.3184      360      "Magnetic Transducer Buzzer" 118.8004  44.3184   122.3004  44.3184   
U2         "Body Temperature Sensor" BottomLayer MAX30205                102.9174     42.7084      180      "Body Temperature Sebsor"    102.9174  42.7084   104.3624  43.6834   
U1         "Accel Gyro Sensor"       BottomLayer MPU-6050                119.0104     44.6334      180      "Accel Gyro Sensor"          119.0104  44.6334   120.9354  45.8834   
Touch      SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           102.5754     43.0004      270      ""                           102.5754  43.0004   103.5504  43.4004   
R13        Res3                      TopLayer    1005[0402]_High_Density 127.1944     50.6003      360      Resistor                     127.1944  50.6003   126.6944  50.6003   
R12        "Res Semi"                BottomLayer 1005[0402]_High_Density 101.7195     45.1504      180      "Semiconductor Resistor"     101.7195  45.1504   102.2195  45.1504   
R11        Res3                      TopLayer    1005[0402]_High_Density 119.3794     49.1444      270      Resistor                     119.3794  49.1444   119.3794  49.6444   
R10        Res3                      TopLayer    1005[0402]_High_Density 120.2604     49.1444      270      Resistor                     120.2604  49.1444   120.2604  49.6444   
R8         Res3                      TopLayer    1005[0402]_High_Density 103.6114     49.2254      360      Resistor                     103.6114  49.2254   103.1114  49.2254   
R7         Res3                      TopLayer    1005[0402]_High_Density 103.2424     48.1284      360      Resistor                     103.2424  48.1284   102.7424  48.1284   
R6         Res3                      TopLayer    1005[0402]_High_Density 103.2424     47.1804      360      Resistor                     103.2424  47.1804   102.7424  47.1804   
R5         Res3                      TopLayer    1005[0402]_High_Density 132.0794     45.3344      0        Resistor                     132.0794  45.3344   131.5794  45.3344   
R4         Res3                      TopLayer    1005[0402]_High_Density 132.0964     46.4774      180      Resistor                     132.0964  46.4774   132.5964  46.4774   
R3         Res3                      TopLayer    1005[0402]_High_Density 130.3195     47.5304      360      Resistor                     130.3195  47.5304   129.8195  47.5304   
R2         Res3                      TopLayer    1005[0402]_High_Density 130.1744     44.2503      0        Resistor                     130.1744  44.2503   129.6744  44.2503   
R1         Res3                      TopLayer    1005[0402]_High_Density 130.1736     43.0534      0        Resistor                     130.1736  43.0534   129.6736  43.0534   
PW3.3V     "Buck Boost Converter"    TopLayer    RP604x                  126.4444     48.3363      270      "Buck Boost Converter"       126.4444  48.3363   127.6944  49.6663   
L2         PowerInductor             TopLayer    Powerinductor           126.2374     44.1503      225      PowerInductor                126.2374  44.1503   127.7365  44.1503   
L1         Inductor                  TopLayer    INDC1608L               113.2383     57.1454      270      Inductor                     113.2383  57.1454   113.2383  57.8454   
Debug      "Header 5"                TopLayer    MHDR1X5                 108.9654     57.4004      360      "Header, 5-Pin"              106.4254  57.4004   106.4254  57.4004   
D1         FullColorLED              TopLayer    fullColorLED_SMT        101.5754     50.0004      90       ""                           101.5754  50.0004   101.0754  50.7754   
CON_BAT    SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           134.7004     42.1284      360      ""                           134.7004  42.1284   134.3004  43.1034   
Charge     "USB Charger"             TopLayer    BQ24020                 133.2064     48.9304      270      ""                           133.2064  48.9304   134.2064  50.3304   
C10        Cap                       TopLayer    1005[0402]_High_Density 121.0304     41.6404      180      Capacitor                    121.0304  41.6404   121.5304  41.6404   
C9         Cap                       TopLayer    1005[0402]_High_Density 117.5854     41.6404      360      Capacitor                    117.5854  41.6404   117.0854  41.6404   
C8         Cap                       TopLayer    1608[0603]              123.4434     48.1284      270      Capacitor                    123.4434  48.1284   123.4434  48.9784   
C7         Cap                       TopLayer    1005[0402]_High_Density 116.8014     43.9004      0        Capacitor                    116.8014  43.9004   116.3014  43.9004   
C6         Cap                       TopLayer    1005[0402]_High_Density 129.0314     51.1764      270      Capacitor                    129.0314  51.1764   129.0314  51.6764   
C5         Cap                       BottomLayer 1005[0402]_High_Density 102.7504     46.1834      180      Capacitor                    102.7504  46.1834   103.2504  46.1834   
C4         Cap                       TopLayer    1005[0402]_High_Density 116.0814     53.9113      270      Capacitor                    116.0814  53.9113   116.0814  54.4113   
C3         Cap                       TopLayer    1005[0402]_High_Density 114.9484     57.3994      180      Capacitor                    114.9484  57.3994   115.4484  57.3994   
C2         Cap                       TopLayer    1005[0402]_High_Density 134.8734     44.5003      0        Capacitor                    134.8734  44.5003   134.3734  44.5003   
C1         Cap                       TopLayer    1005[0402]_High_Density 135.3814     51.9384      90       Capacitor                    135.3814  51.9384   135.3814  51.4384   
R15        Res3                      TopLayer    1005[0402]_High_Density 130.5554     77.9674      90       Resistor                     130.5554  77.9674   130.5554  77.4674   
R9         Res3                      TopLayer    1005[0402]_High_Density 131.4721     78.6694      270      Resistor                     131.4721  78.6694   131.4721  79.1694   
J1         "USB 2.0 CON"             TopLayer    MicroUSB_WaterProof     137.2864     69.9704      270      "USB2.0 Connector"           137.2864  70.0004   137.2864  71.4254   
D5         VEMD5010X01               BottomLayer OPT_Sensor_VEMD5010X01  131.9695     70.2956      180      ""                           131.9695  70.2956   133.2445  68.1956   
M1         CYBLE-224110-00           TopLayer    CYBLE-224110-00         110.3254     69.2554      180      "BLE Module Long Range"      105.5754  60.0004   105.8354  63.3704   
U3         "HRM AFE"                 BottomLayer ADPD1080                118.8714     75.3674      360      "HRM AFE"                    118.8714  75.3674   116.9464  74.1674   
R14        ""                        TopLayer    1005[0402]              129.3814     74.9864      270      Resistor                     129.3814  74.9864   129.3814  75.6364   
PW1.8V     LM3671                    TopLayer    LM3671_SOT              126.3644     74.3514      180      StepDownDCDC                 126.3644  74.3514   127.7394  73.4014   
L3         Inductor                  TopLayer    INDC1608L               123.4792     73.9113      90       Inductor                     123.4792  73.9113   123.4792  73.2113   
D2         LED                       BottomLayer 1608[0603]_-LED         127.4754     70.3304      90       "LED SMD"                    127.4754  70.3304   127.4754  69.4804   
D3         LED                       BottomLayer 1608[0603]_-LED         131.9895     75.5004      180      "LED SMD"                    131.9895  75.5004   132.8395  75.5004   
D4         LED                       BottomLayer 1608[0603]_-LED         131.9694     66.1004      180      "LED SMD"                    131.9694  66.1004   132.8194  66.1004   
C12        Cap                       TopLayer    1005[0402]_High_Density 117.8854     75.1004      180      Capacitor                    117.8854  75.1004   118.3854  75.1004   
C14        Cap                       TopLayer    1005[0402]_High_Density 118.0714     77.2924      180      Capacitor                    118.0714  77.2924   118.5714  77.2924   
C11        Cap                       TopLayer    1005[0402]_High_Density 132.3964     75.7024      360      Capacitor                    132.3964  75.7024   131.8964  75.7024   
C16        Cap                       TopLayer    1005[0402]_High_Density 123.0042     75.8963      360      Capacitor                    123.0042  75.8963   122.5042  75.8963   
C13        Cap                       TopLayer    1005[0402]_High_Density 117.8854     76.0024      180      Capacitor                    117.8854  76.0024   118.3854  76.0024   
C15        Cap                       TopLayer    1005[0402]_High_Density 127.1944     71.6384      0        Capacitor                    127.1944  71.6384   126.6944  71.6384   
CLIP       SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           102.5754     77.0004      270      ""                           102.5754  77.0004   103.5504  77.4004   
LS1        Buzzer                    TopLayer    ST-0402T                120.5504     64.3184      360      "Magnetic Transducer Buzzer" 118.8004  64.3184   122.3004  64.3184   
U2         "Body Temperature Sensor" BottomLayer MAX30205                102.9174     62.7084      180      "Body Temperature Sebsor"    102.9174  62.7084   104.3624  63.6834   
U1         "Accel Gyro Sensor"       BottomLayer MPU-6050                119.0104     64.6334      180      "Accel Gyro Sensor"          119.0104  64.6334   120.9354  65.8834   
Touch      SM02B-SURS-TF             TopLayer    SM02B-SURS-TF           102.5754     63.0004      270      ""                           102.5754  63.0004   103.5504  63.4004   
R13        Res3                      TopLayer    1005[0402]_High_Density 127.1944     70.6003      360      Resistor                     127.1944  70.6003   126.6944  70.6003   
R12        "Res Semi"                BottomLayer 1005[0402]_High_Density 101.7195     65.1504      180      "Semiconductor Resistor"     101.7195  65.1504   102.2195  65.1504   
R11        Res3                      TopLayer    1005[0402]_High_Density 119.3794     69.1444      270      Resistor                     119.3794  69.1444   119.3794  69.6444   
R10        Res3                      TopLayer    1005[0402]_High_Density 120.2604     69.1444      270      Resistor                     120.2604  69.1444   120.2604  69.6444   
R8         Res3                      TopLayer    1005[0402]_High_Density 103.6114     69.2254      360      Resistor                     103.6114  69.2254   103.1114  69.2254   
R7         Res3                      TopLayer    1005[0402]_High_Density 103.2424     68.1284      360      Resistor                     103.2424  68.1284   102.7424  68.1284   
R6         Res3                      TopLayer    1005[0402]_High_Density 103.2424     67.1804      360      Resistor                     103.2424  67.1804   102.7424  67.1804   
R5         Res3                      TopLayer    1005[0402]_High_Density 132.0794     65.3344      0        Resistor                     132.0794  65.3344   131.5794  65.3344   
R4         Res3                      TopLayer    1005[0402]_High_Density 132.0964     66.4774      180      Resistor                     132.0964  66.4774   132.5964  66.4774   
R3         Res3                      TopLayer    1005[0402]_High_Density 130.3195     67.5304      360      Resistor                     130.3195  67.5304   129.8195  67.5304   
R2         Res3                      TopLayer    1005[0402]_High_Density 130.1744     64.2503      0        Resistor                     130.1744  64.2503   129.6744  64.2503   
R1         Res3                      TopLayer    1005[0402]_High_Density 130.1736     63.0534      0        Resistor                     130.1736  63.0534   129.6736  63.0534   
PW3.3V     "Buck Boost Converter"    TopLayer    RP604x                  126.4444     68.3363      270      "Buck Boost Converter"       126.4444  68.3363   127.6944  69.6663   
